ID,First Name,Second Name,Team,Position,Total Points,PPG,Goals,Assists,bps,Clean Sheets,Minutes,Games Played,Selected by
195,Mathias,Jorgensen,Huddersfield,Defender,7,3.5,0,0,46,1,180,0,5.6,a
196,Scott,Malone,Huddersfield,Defender,0,0.0,0,0,0,0,0,0,2.8,u
197,Florent,Hadergjonaj,Huddersfield,Defender,6,2.0,0,0,41,1,270,0,0.1,a
198,Terence,Kongolo,Huddersfield,Defender,3,1.0,0,0,34,1,270,0,0.2,a
199,Aaron,Mooy,Huddersfield,Midfielder,5,2.5,0,0,33,1,180,0,2.7,a
200,Rajiv,van La Parra,Huddersfield,Midfielder,3,3.0,0,0,1,1,90,0,0.1,a
201,Jonathan,Hogg,Huddersfield,Midfielder,2,1.0,0,0,19,1,152,0,0.2,s
202,Philip,Billing,Huddersfield,Midfielder,6,2.0,0,0,33,1,270,0,0.3,a
203,Tom,Ince,Huddersfield,Midfielder,0,0.0,0,0,0,0,0,0,0.0,u
204,Danny,Williams,Huddersfield,Midfielder,0,0.0,0,0,0,0,0,0,0.0,a
205,Abdelhamid,Sabiri,Huddersfield,Midfielder,1,1.0,0,0,3,0,45,0,0.1,a
206,Alex,Pritchard,Huddersfield,Midfielder,3,1.5,0,0,7,0,105,0,0.1,a
207,Ramadan,Sobhi,Huddersfield,Midfielder,1,1.0,0,0,4,0,6,0,0.2,a
208,Juninho,Bacuna,Huddersfield,Midfielder,0,0.0,0,0,0,0,0,0,0.1,a
209,Collin,Quaner,Huddersfield,Forward,0,0.0,0,0,0,0,0,0,4.2,a
210,Laurent,Depoitre,Huddersfield,Forward,3,1.0,0,0,6,0,100,0,0.9,a
211,Steve,Mounie,Huddersfield,Forward,9,3.0,0,1,23,1,252,0,0.3,a
212,Elias,Kachunga,Huddersfield,Forward,0,0.0,0,0,0,0,0,0,0.1,a
461,Erik,Durm,Huddersfield,Defender,0,0.0,0,0,0,0,0,0,0.1,i
471,Adama,Diakhaby,Huddersfield,Midfielder,5,1.7,0,0,6,1,115,0,0.0,a
514,Isaac,Mbenza,Huddersfield,Midfielder,1,1.0,0,0,3,0,22,0,0.0,a
522,Jon Gorenc,Stankovic,Huddersfield,Defender,5,5.0,1,0,23,0,90,0,3.4,a
213,Kasper,Schmeichel,Leicester,Goalkeeper,11,3.7,0,0,58,1,270,0,5.7,a
214,Eldin,Jakupovic,Leicester,Goalkeeper,0,0.0,0,0,0,0,0,0,0.1,a
215,Wes,Morgan,Leicester,Defender,3,1.5,0,0,33,0,180,0,1.3,a
216,Christian,Fuchs,Leicester,Defender,0,0.0,0,0,0,0,0,0,0.7,a
217,Danny,Simpson,Leicester,Defender,0,0.0,0,0,0,0,0,0,0.3,a
218,Yohan,Benalouane,Leicester,Defender,0,0.0,0,0,0,0,0,0,1.0,a
219,Benjamin,Chilwell,Leicester,Defender,11,3.7,0,0,52,1,270,0,0.7,a
220,Harry,Maguire,Leicester,Defender,16,5.3,1,0,74,1,270,0,15.7,a
221,Ricardo Domingos,Barbosa Pereira,Leicester,Defender,18,6.0,0,2,77,1,270,0,5.5,a
222,Jonny,Evans,Leicester,Defender,5,5.0,0,0,23,1,90,0,0.4,a
224,Marc,Albrighton,Leicester,Midfielder,5,2.5,0,1,21,0,82,0,0.7,a
225,Demarai,Gray,Leicester,Midfielder,14,4.7,1,0,46,1,258,0,1.6,a
226,Daniel,Amartey,Leicester,Midfielder,4,1.3,0,0,26,0,182,0,0.3,a
227,Wilfred,Ndidi,Leicester,Midfielder,7,2.3,0,0,39,1,270,0,0.7,a
228,Vicente,Iborra,Leicester,Midfielder,1,1.0,0,0,5,0,10,0,0.1,a
229,Matty,James,Leicester,Midfielder,0,0.0,0,0,0,0,0,0,0.0,i
230,Hamza,Choudhury,Leicester,Midfielder,0,0.0,0,0,0,0,0,0,0.1,a
231,Adrien Sebastian,Perruchet Silva,Leicester,Midfielder,3,1.5,0,0,16,0,87,0,0.3,a
232,Fousseni,Diabaté,Leicester,Midfielder,0,0.0,0,0,0,0,0,0,0.0,a
233,James,Maddison,Leicester,Midfielder,13,4.3,1,0,51,1,220,0,2.4,a
234,Jamie,Vardy,Leicester,Forward,5,2.5,1,0,19,1,92,0,3.4,s
235,Shinji,Okazaki,Leicester,Forward,1,1.0,0,0,3,0,2,0,0.8,a
